sentence,label
Good project ,POSITIVE
Beautifully designed township ,POSITIVE
Very luxurious amenities ,POSITIVE
Good for investment ,POSITIVE
Brigade sanctuary is far from neopolis and somerville  The price is not competitive but any standards The appreciation will be very less And the roads to neopolis is a hell with all the bottlenecks Varthur junction is a nightmare to cross And for investment and daily commute the prospective customers see all this,NEGATIVE
Pricing for  sqft is approx  Cr which will become approx  cr including interest by the time Possession will be givenSo in no way it is good investment,POSITIVE
Stepbystep crisp and clear outlines layed down  Insightful for all homebuyers considering this vicinity or Brigade Insignia as a project Sanjay,POSITIVE
Only if u want to work in Bengaluru for next  years minimum then go and buy But if not then you will regret your decision  Believe me,POSITIVE
Overpriced ,NEGATIVE
This is one of the best projectThey are providing quite spacious layout and worth to afford to buy,POSITIVE
Wonderful kids theme Project  highly recommended for end users Thanks  igade and Thankyou housiey,POSITIVE
One of the best project in Bangalore ,POSITIVE
The project comes with many USP including school malls Tech parks at walkable distance,POSITIVE
Great place to invest,POSITIVE
Price and layout plan is really great,POSITIVE
One of the best Project in Whitefield ,POSITIVE
"
This is the really best project in the vicinity",POSITIVE
No price details how about water do u provide individual water meters,NEGATIVE
The houses are good for AirBnB where guest stays for  days But looking at the location somewhat the business seems sour It should have been on MG Road Whitefield etc,MIXED
Unimpressive,NEGATIVE
After seeing these properties I feel like  Its like it starts and ends with this is it A  BHK of  square feet is just a joke,NEGATIVE
Pay  to  lakhs for toilet size houses and then enjoy  thousand sft club house,NEGATIVE
The lady cant speak Pls change her Looks are not always important,NEGATIVE
Your interior designer got some things wrongbedrooms are too darkschemes dont match at all,NEGATIVE
Only thing first they said Arron  we will give the position on sep  and the dec and then March  now said June ,NEGATIVE
I just bought mine  So nice of them to not bother putting the safety detent spring in the damn thing  That is piss poor,NEGATIVE
Just picked one up today in FDE in barrel version Found one at my local gun shop used but in pristine condition Looks like it was never even fired Cant wait to take it to the range and see how it shoots,POSITIVE
So I have the BM inch and initially had some issues with the trigger and misfeeds  I contacted Brigade and they were quick and responsive  They emailed me a shipping label that same day  I sent the pistol the last week of December and got it back a few days after the new year  I just got back to the range yesterday and it ran flawlessly  I put about  rds through it not a single issue  Happy with it  Gonna drop a binary or wide open trigger in it,POSITIVE
Just got mines today an i love it,POSITIVE
Dont buy this weapon or anything Brigade sells They are junk they know it and Brian doesnt return calls or emails He IS the warranty dept Test it out for yourself csl and leave a message under warranty or email Brian and youll see how you get no response Numerous issues from the firing pin not set to work with certain Remington ammo certain mags get caught up or dont feed ammo properly and my issue was the buffer tube was bent or the SBA  ace Was warped Either way the  ace gets hung up and does not slide to adjust the length Youll notice on their website there is no section for quotreviewsquot that should have been a clue for me in the beginning Avoid Brigade spend your money elsewhere TRUST ME  Thats why you dont see many firearm sites selling them anymore,NEGATIVE
Purchased in luminiare tower got unit at best price Thanks housiey team,POSITIVE
Good for investment,POSITIVE
Good project to invest ,POSITIVE
Better place for investment,POSITIVE
Seems like a well planned projectworth a visit,POSITIVE
Dont get fooled by the presentation Construction of other buildings of this same project has been delayed by   months Now they are rushing to handover the incomplete apartments Kitchen does not have any cabinets kitchen counters sink tile on walls etc They say that its a Provision of modular kitchen Lifts are not functioning there is no functioning borewell This the state of luxury apartments NRIs dont get fooled They will open a office someplace near silicon valley so that you convinced that it will be easier to get concerns resolved They will make you pay  in order to book and then quietly close that office in  months Then you have to deal with so called customer relationship officer back in india who think there job is to copy and paste template emails for every concernquestion you have My CRM left me hanging on phone first time i called her as she was discussing chutney she had her with idli that morningIm not kidding,NEGATIVE
They have already announced DLC campaigns It would be nice if you do some research before reviewing the game,NEUTRAL
He did not even pay salaries   his employees commited suicide while he was partying True bastard,NEGATIVE
Hes an absolute ideal for those idiots who are doing frauds in India   Â…Â…Â…,NEGATIVE
The property of the thief who looted so much has also been auctioned off ,NEGATIVE
I wonder how many more ppl has he duped to enjoy this flamboyant life and he if gets restful sleep with our pills karma Will surely serve him,NEGATIVE
We just enjoy committing frauds like this ,NEGATIVE
k likes by all those financers and creditors who got commission by this absconder,NEGATIVE
Story they stole story from The Mummy amp The Mummy Returns think Brendan Fraser but Female Baddie with Indiana Jones many traps that you can use on enemies as you are outnumbered in a massive way if you play it solo I love this game I aim to get Platinum Trophy for it but I ll have to do story campaign several times,MIXED
RPunch amp R on them when they alive on the ground Run and shoot when you are outnumbered There are spinning blade traps amp explosive barrels amp Fire Tunnel Traps you can use on enemies I m glad you guys reviewed it amp GaryIan playing this campaign or horde together will love it  Characters maximum that you can getbuy all DLC No giant spiders but scorpions only that surprised me but minotaurs are greek not egypt myths  Your pistol weaponsInfinite Ammo but bigger gunsFinite Ammo so on every stage look for ammo refill crates on every map amp big bosses that charge at you there are several look for blue orb weakness on their body but accurate firing at themworks there are blue light puzzles any difficulty got to you tube and other gamers show you how to solve them in story Its not one and done game if you want that Platinum Trophy on PS version of Strange Brigade guys Just saw your review today th January ,POSITIVE
Its enjoyable game but you will have to do story mode several times over just to get Trophy for solving all Optional Puzzles which are not easythey give you Amulets for your weapons as a reward for solving them Story they stole story from The Mummy amp The Mummy Returns think Brendan Fraser but Female Baddie with Indiana Jones many traps that you can use on enemies as you are outnumbered in a massive way if you play it solo I love this game I aim to get Platinum Trophy for it but I ll have to do story campaign several times In earlier stages red health potion bottles are scarce but the deeper you get into gamemore plentiful amp some enemies you got to kill to get red health potions from them RPunch amp R on them when they alive on the ground Run and shoot when you are outnumbered,MIXED
Gary amp Ian I got this recently on PS on amazon uk at  or  approx amp at playstation store digital download they lowered the price to  to  range I bought copy for a friend of mine in order to get online horde trophies I agree with Gary amp Ian this game should be sold at  or  but never bought at  or  or  price There is a hell of a lot to campaign parts amp  extra DLC Stages you fight mummiesgiant scorpionsMinotaurs though many of its settings are in Ancient Egypt there is a few game addonsDLC for this game Its enjoyable game but you will have to do story mode several times over just to get Trophy for solving all Optional Puzzles which are not easythey give you Amulets for your weapons as a reward for solving them Story they stole story from The Mummy amp The Mummy Returns think Brendan Fraser but Female Baddie with Indiana Jones many traps that you can use on enemies as you are outnumbered in a massive way if you play it solo I love this game I aim to get Platinum Trophy for it but I ll have to do story campaign several times In earlier stages red health potion bottles are scarce but the deeper you get into gamemore plentiful amp some enemies you got to kill to get red health potions from them RPunch amp R on them when they alive on the ground Run and shoot when you are outnumbered There are spinning blade traps amp explosive barrels amp Fire Tunnel Traps you can use on enemies I m glad you guys reviewed it amp GaryIan playing this campaign or horde together will love it  Characters maximum that you can getbuy all DLC No giant spiders but scorpions only that surprised me but minotaurs are greek not egypt myths  Your pistol weaponsInfinite Ammo but bigger gunsFinite Ammo so on every stage look for ammo refill crates on every map amp big bosses that charge at you there are several look for blue orb weakness on their body but accurate firing at themworks there are blue light puzzles any difficulty got to you tube and other gamers show you how to solve them in story Its not one and done game if you want that Platinum Trophy on PS version of Strange Brigade guys Just saw your review today th January  Consider Resident Evil  Remake on PS to review next or Last of Us or Last of Us Part  coming out in  or Left Alive on PS coming out in  or God of War  on PS to review sometime in the Future,MIXED
Overpriced unfinished garbage,NEGATIVE
The biggest disadvantage is that the buttons of the body armor cannot be fastened I can only fix it with blue butyl rubber This material does not work either The joints cannot be moved without the heating of a hair dryer After heating it immediately recovers and becomes hard and can no longer move,NEGATIVE
That flaw in the vest is a massive letdown for this figure I have it on BBTS and I feel like canceling Vala should have come up with a fix for it I dont want to have to shave it down Too many production flaws in these figures Not impossible but way too many and its annoying,NEGATIVE
These seem rather subpar for their price Outside of the separating torso and the poor vest clasp design  the figure stands out as incredible quotplasticeyquot next to other lines in your comparison shots Appreciate the review,NEGATIVE
